BOTTLE,20001102WHPSIOJJW
#code : jjward hyd_to_exchange.pl V1.0
#original files copied from HTML directory: 2000.09.25
#original HYD file: a03hy.txt   Fri Oct 27 14:26:11 2000
#original SUM file: a03su.txt   Mon Sep 25 14:38:01 2000
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRIT,NITRIT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W
,,,,,,,,,,,,DBAR,IPTS-68,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,
      RUCT40_1,   A03,     7,  1,     20,     20,2,19930924,0710, 36.4247,  -8.7913, 2349,    353.0,  12.6221,  35.7432,3,  35.7500,2,    210.2,2,     5.92,2,     0.03,2,    10.20,2,     0.76,2
      RUCT40_1,   A03,     7,  1,     19,     18,2,19930924,0710, 36.4247,  -8.7913, 2349,    449.8,  11.7775,  35.6264,2,  35.6276,2,    208.4,2,     6.98,2,     0.03,2,    12.18,2,     0.87,2
      RUCT40_1,   A03,     7,  1,     18,     19,2,19930924,0710, 36.4247,  -8.7913, 2349,    550.2,  11.1134,  35.5611,2,  35.5648,2,    199.3,2,     8.54,2,     0.02,2,    14.63,2,     1.03,2
      RUCT40_1,   A03,     7,  1,     17,     17,2,19930924,0710, 36.4247,  -8.7913, 2349,    643.0,  10.6595,  35.5612,2,  35.5630,2,   -999.0,5,    10.48,2,     0.03,2,    16.84,2,     1.16,2
      RUCT40_1,   A03,     7,  1,     16,     16,2,19930924,0710, 36.4247,  -8.7913, 2349,    743.9,  10.8832,  35.7881,2,  35.7894,2,    183.1,2,    10.80,2,     0.03,2,    16.03,2,     1.10,2
      RUCT40_1,   A03,     7,  1,     15,     15,2,19930924,0710, 36.4247,  -8.7913, 2349,    841.3,  10.5160,  35.8333,2,  35.8364,2,    182.2,2,    11.94,2,     0.02,2,    16.63,2,     1.17,2
      RUCT40_1,   A03,     7,  1,     14,     14,2,19930924,0710, 36.4247,  -8.7913, 2349,    944.2,  10.1067,  35.8344,2,  35.8357,2,    186.6,2,    12.82,2,     0.02,2,    16.93,2,     1.20,2
      RUCT40_1,   A03,     7,  1,     13,     12,2,19930924,0710, 36.4247,  -8.7913, 2349,   1045.1,   9.9584,  35.8832,2,  35.8847,2,    182.6,2,    13.22,2,     0.02,2,    17.34,2,     1.19,2
      RUCT40_1,   A03,     7,  1,     12,     13,2,19930924,0710, 36.4247,  -8.7913, 2349,   1193.4,  11.1258,  36.2862,2,  36.2852,2,    184.7,2,    11.43,2,     0.02,2,    14.95,2,     1.01,2
      RUCT40_1,   A03,     7,  1,     11,     11,3,19930924,0710, 36.4247,  -8.7913, 2349,   1194.0,  11.1244,  36.2863,2,  36.2850,2,    188.6,2,    11.52,2,     0.03,2,    14.78,2,     1.03,2
